นิติบุคคลจัดตั้งเดือนตุลาคม 2561,,,,,,,,,,,
ทั่วประเทศ,,,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,ตำบล,อำเภอ,จังหวัด,"รหัส
ไปรษณีย์"
"1,042",0105561186395,บจ.คลาวด์ สเคป บางกอก จำกัด,30/10/2561," 1,000,000 ",70209,ประกอบกิจการให้บริการรับเป็นที่ปรึกษา และบริหารงานทางการตลาด การประชาสัมพันธ์ และการออกแบบ,7/181  ซอยทวีวัฒนา 24,แขวงศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,10170
"1,043",0105561186441,บจ.อริยสัจ 4 จำกัด,30/10/2561," 1,000,000 ",32111,รับจ้างทำเครื่องประดับและทองรูปพรรณตามความต้องการให้แก่ บุคคล นิติบุคคล และส่วนราชการต่างๆ,48/51  หมู่ที่ 11,แขวงบางพรม,เขตตลิ่งชัน,กรุงเทพมหานคร,10170
"1,044",0105561187081,บจ.แพนด้า ไทร์ จำกัด,31/10/2561," 1,000,000 ",45302,การขายปลีกชิ้นส่วนและอุปกรณ์เสริมใหม่ของยานยนต์ เช่น ยางนอกยางใน แบตเตอรี่ อุปกรณ์ประดับยนต์,9/89  ถนนราชพฤกษ์,แขวงบางระมาด,เขตตลิ่งชัน,กรุงเทพมหานคร,10170
"1,045",0105561176322,บจ.บางกอก คิกเกอร์ส จำกัด,11/10/2561," 1,000,000 ",85410,ประกอบกิจการโรงเรียนสอนกีฬาฟุตบอลให้เด็กและเยาวชน,204-206  ถนนมหาไชย,แขวงสำราญราษฎร์,เขตพระนคร,กรุงเทพมหานคร,10200
"1,046",0103561014525,หจ.รวมพันธุ์ ฟู๊ดส์,9/10/2561," 1,000,000 ",56210,ประกอบกิจการรับจ้างทำอาหารหรือรับจ้างเหมาทำอาหารสำเร็จรูปและ/หรือไม่สำเร็จ,92  ซอยช่างอากาศอุทิศ 5 แยก 4,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,047",0103561015378,หจ.รสมือแม่ ข้าวมันไก่,29/10/2561," 1,000,000 ",47219,จำหน่ายอาหารที่ปรุงสำเร็จ,201/147  ซอยวิภาวดีรังสิต 64 (มหานคร),แขวงตลาดบางเขน,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,048",0103561015475,หจ.จิตพล การก่อสร้าง(ประเทศไทย),30/10/2561," 1,000,000 ",41001,การก่อสร้างอาคารที่พักอาศัย,20  ซอยโกสุมรวมใจ 28 ถนนโกสุมรวมใจ,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,049",0105561169342,บจ.พร้อมสุข คิทเช่น จำกัด,1/10/2561," 1,000,000 ",56101,จำหน่ายอาหารและเครื่องดื่ม,279/46  ถนนวิภาวดีรังสิต,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,050",0105561170782,บจ.ชินเขต  เฮลท์แคร์ บริบาล จำกัด,3/10/2561," 1,000,000 ",85499,ประกอบกิจการโรงเรียนสอนผู้ช่วยเหลือพยาบาลวิชาชีพ ผู้ช่วยพยาบาลหลักสูตร ผู้สูงอายุและเด็กเล็ก,83/124  หมู่ที่ 6,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,051",0105561171878,บจ.ปั้นแป้ง เบเกอรี่ จำกัด,4/10/2561," 1,000,000 ",10711,ประกอบกิจการผลิต ขายขนมปังและเบเกอรี่ ทุกประเภท,"32,34,36  ถนนวัดเวฬุวนาราม",แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,052",0105561172360,บจ.แฟตบอย แอดเวอร์ไทซิ่ง จำกัด,5/10/2561," 1,000,000 ",73102,ประกอบกิจการซื้อขาย สื่อโฆษณาแบบครบวงจร,8/174  ซอยงามวงศ์วาน 47 แยก 6-11,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,053",0105561172700,บจ.เค.พี.แอ๊ดวานซ์ ซีสเต็ม จำกัด,5/10/2561," 1,000,000 ",47413,ประกบกิจการจำหน่าย ติดตั้ง ให้เช่า อุปกรณ์กล้องวงจรปิด เครื่องโทรศัพท์ โทรสาร,2/1  ซอยวัดเวฬุวนาราม 32,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,054",0105561172751,บจ.เอสที5 เอ็นจิเนียริ่ง จำกัด,5/10/2561," 1,000,000 ",41001,ประกอบกิจการก่อสร้างอาคารที่พักอาศัยทุกประเภท บ้านเดี่ยว อาคารสูง การดัดแปลงหรือปรับปรุงอาคาร,199/130  ถนนนาวงประชาพัฒนา,แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,055",0105561173005,บจ.ไทย อิเล็คทริค พาร์ท จำกัด,5/10/2561," 1,000,000 ",46105,ประกอบกิจการนำเข้า และส่งออก เครื่องจักรอุตสาหกรรม เครื่องใช้ไฟฟ้า,122/13  ซอยวิภาวดีรังสิต 58 แยก 2,แขวงตลาดบางเขน,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,056",0105561173013,บจ.พีพี(1982) จำกัด,5/10/2561," 1,000,000 ",82990,ประกอบกิจการให้บริการติดตาม ทวงถาม ทวงหนี้ในธุรกิจทุกประเภท,2/7  ถนนโกสุมรวมใจ,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,057",0105561173030,บจ.โตเจริญพร ดิจิตอล จำกัด,5/10/2561," 1,000,000 ",47595,ประกอบกิจการค้าเครื่องใช้ไฟฟ้าทุกประเภท ทุกชนิด,377  ถนนประชาอุทิศ,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,058",0105561173188,บจ.ภัทรินทร์ ดีไซน์ จำกัด,5/10/2561," 1,000,000 ",71102,ประกอบกกิจการ ให้คำปรึกษา และรับออกแบบตกแต่งภายใน,27/176  ซอยช่างอากาศอุทิศ 13,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,059",0105561173323,บจ.เนเจอร์ เบสด์ โซลูชั่นส์ จำกัด,5/10/2561," 1,000,000 ",47190,ประกอบกิจการจำหน่ายผลิตภัณฑ์เพื่อสิ่งแวดล้อม,17/167  ซอยประชาชื่น 14 (หมู่บ้านการไฟฟ้าส่วนภูมิภาค),แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,060",0105561173765,บจ.อัลไลแอนซ์ ลีมูซีน เอเซีย จำกัด,8/10/2561," 1,000,000 ",79120,ประกิจการนำเที่ยว รวมทั้งธุรกิจที่เกี่ยวกับการนำเที่ยวทุกชนิด,324/88  ซอยกำแพงเพชร 6 ซอย 7 แยก 3,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,061",0105561174117,บจ.ศิริ พร็อพเพอร์ตี้ เมเนจเมนท์ (ไทยแลนด์) จำกัด,8/10/2561," 1,000,000 ",68201,กิจกรรมของตัวแทนและนายหน้าอสังหาริมทรัพย์โดยได้รับ ค่าตอบแทนหรือตามสัญญาจ้าง,127/158  ซอยวิภาวดี 60 ถนนวิภาวดี รังสิต,แขวงตลาดบางเขน,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,062",0105561174648,บจ.เป็นไทย อินโนเวชั่น จำกัด,9/10/2561," 1,000,000 ",32501,ผลิต วัสดุ อุปกรณ์ เครื่องมือ เครื่องใช้ ทางการแพทย์,409/60  ซอยแจ้งวัฒนะ 10 ถนนแจ้งวัฒนะ,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,063",0105561174711,บจ.วี คลินิก บีเคเค จำกัด,9/10/2561," 1,000,000 ",86202,ประกอบกิจการให้บริการคลินิกเสริมความงามครบวงจร,213  ถนนสรงประภา,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,064",0105561175407,บจ.ไรเดอร์ อินสไปเรชั่น จำกัด,10/10/2561," 1,000,000 ",43210,รับเหมาติดตั้งสัญญาณโทรศัพท์,8/181  ซอยพหลโยธิน 73,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,065",0105561175563,บจ.มูเก็นได เทคโนโลยี(ไทยแลนด์) จำกัด,10/10/2561," 1,000,000 ",46599,ประกอบกิจการค้า ผลิตและรับจ้างทำของ ติดตั้ง ออกแบบปรับปรุงระบบควบคุมการทำงานของเครื่องจักร,221  ถนนสรงประภา,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,066",0105561176110,บจ.๙ ช้างไทย คอนสตรัคชั่น จำกัด,10/10/2561," 1,000,000 ",41002,การก่อสร้างอาคาร,8/19  ซอยวิภาวดีรังสิต 35,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,067",0105561176667,บจ.เจ คูล เซอร์วิส จำกัด,11/10/2561," 1,000,000 ",96309,ประกอบธุรกิจเป็นตัวแทนรับจดทะเบียนรถที่ประกอบในประเทศไทย,179/116  ซอยพหลโยธิน 75,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,068",0105561178015,บจ.ซี.เค.โปรแมนเนจ จำกัด,12/10/2561," 1,000,000 ",46694,ประกอบกิจการจำหน่าย ขวด ฝา ผลิตภัณฑ์พลาสติก,5/49  ซอยพหลโยธิน 73,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,069",0105561178244,บจ.สำนักงานกฎหมายนิมิตพงษ์ จำกัด,16/10/2561," 1,000,000 ",69100,กิจกรรมทางกฎหมาย,111/293  หมู่บ้าน ศิริสุข ซอยช่างอากาศอุทิศ 28 ถนนช่างอากาศอุทิศ,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,070",0105561178287,บจ.รักษาความปลอดภัย สมาร์ท การ์ด แอนด์ เซอร์วิส จำกัด,16/10/2561," 1,000,000 ",80100,ประกอบกิจการให้บริการรักษาความปลอดภัยในชีวิตและทรัพย์สินให้แก่บุคคลและนิติบุคคล,429/128  ถนนสรงประภา,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,071",0105561178694,บจ.ชัชฏา จำกัด,16/10/2561," 1,000,000 ",86202,ประกอบกิจการให้บริการ สถานบริการเสริมความงาม และคลีนิคเวชกรรมเสริมความงาม,222/15  ถนนสรงประภา,แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,072",0105561178716,บจ.ณัฏฐาจารย์ จำกัด,16/10/2561," 1,000,000 ",46443,ประกอบกิจการจำหน่ายเครื่องสำอาง ครีมบำรุงผิว สมุนไพร และอาหารเสริมเพื่อสุขภาพ,222/15  ถนนสรงประภา,แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,073",0105561181512,บจ.พีเอส พิกเกิ้ลส์ จำกัด,19/10/2561," 1,000,000 ",10309,ประกอบกิจการผลิตและจำหน่ายผักและผลไม้แปรรูป,1669/381  ซอยหมู่บ้านปิ่นเจริญ,แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,074",0105561181687,บจ.อินดัสเทค ดีไซน์ จำกัด,19/10/2561," 1,000,000 ",46592,ประกอบกิจการออกแบบ จัดหา จำหน่าย ติดตั้ง สายการผลิต เครื่องจักร เครื่องมือ อุปกรณ์ และอะไหล่ทางวิศวกรรมทุกชนิด,100/196  ซอยกำแพงเพชร 6 ซ.5 แยก 2-3(โกสุมนิเวศน์ ซ.5),แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,075",0105561181946,บจ.นิว เจนเนอรา จำกัด,19/10/2561," 1,000,000 ",46106,ประกอบกิจการ นำเข้า ส่งออก และจำหน่ายน้ำมันเชื้อเพลิงทั้งในประเทศและต่างประเทศ,222   ห้องเลขที่ 2337 ชั้น 2 อาคารผู้โดยสารระหว่างประเทศ อาคาร 1 สนามบินดอนเมือง ถนนวิภาวดีรังสิต,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,076",0105561182411,บจ.เดอะ วิลลิ่ง โฮเต็ล แอนด์ เรสซิเดนซ์ จำกัด,22/10/2561," 1,000,000 ",55101,ที่พักอาศัย ที่ประชุม อบรม สัมมนา บริการอาหาร เครื่องดื่ม และอื่น ๆ,101/66  หมู่ที่ 4 ซอยแจ้งวัฒนะ 15 ถนนแจ้งวัฒนะ,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,077",0105561182560,บจ.ลูกชิ้นพอเพียง จำกัด,22/10/2561," 1,000,000 ",10132,ประกอบกิจการผลิตลูกชิ้นทีทำจาก เนื้อสัตว์ปีก,13/91  ซอยแจ้งวัฒนะ 14,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,078",0105561183361,บจ.อาร์เอ็ม ริช มิลเลี่ยน จำกัด,24/10/2561," 1,000,000 ",82990,บริการติดตามเร่งรัดหนี้สิน บริการอื่นๆ,236/31  หมู่บ้าน สหกรณ์ครูไทย ซอย3,แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,079",0105561183621,บจ.แอนนาไทย จำกัด,24/10/2561," 1,000,000 ",20232,ประกอบกิจการ ผลิต จำหน่าย นำเข้า ส่งออก เครื่องสำอาง เวชสำอาง,288/9  ซอยวิภาวดีรังสิต 70 (พัชราภา),แขวงตลาดบางเขน,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,080",0105561184104,บจ.เมืองคำการแพทย์ จำกัด,25/10/2561," 1,000,000 ",86101,ประกอบกิจการโรงพยาบาลเอกชน สถานพยาบาล รับรักษาคนไข้และผู้ป่วยเจ็บ รับทำการฝึกสอนและอบรมทางด้านวิชาการเกี่ยวกับการแพทย์ การอนามัย,"382,384  ถนนสรงประภา",แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,081",0105561184112,บจ.สมาร์ทโมดูลาร์ จำกัด,25/10/2561," 1,000,000 ",74101,ประกอบกิจการออกแบบโครงสร้าง สิ่งก่อสร้าง ตกแต่งภายใน รับจัดฉากเวทีต่างๆและเป็นธุระจัดหาในงานแสดงสินค,59/52  ซอยงามวงศ์วาน 47 แยก 37,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,082",0105561184856,บจ.ริชวิทซ์ อีสเทิร์น จำกัด,26/10/2561," 1,000,000 ",86201,ประกอบกิจการสถานพยาบาลประเภทคลีนิกเวชกรรมที่ไม่รับผู้ป่วยไว้ค้างคืน รับรักษาผู้ป่วยทั่วไป,431/124  ถนนสรงประภา,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,083",0105561184881,บจ.พลังเครือข่ายไทย จำกัด,26/10/2561," 1,000,000 ",10619,ประกอบกิจการผลิตและจำหน่ายอาหารเสริม อาหารเสริมเพื่อสุขภาพ เครื่องดื่มเพื่อสุขภาพ น้ำผลไม้ กาแฟเพื่อสุขภาพและอาหารชีวจิต อาหารที่ผลิตและสกัดมาจากธัญพืชทุกชนิด,244/35  ซอยวิภาวดีรังสิต 43,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,084",0105561185861,บจ.เดอะ ปาร์ค กรุ๊ป จำกัด,29/10/2561," 1,000,000 ",68102,ประกอบกิจการซื้อขายให้เช่า เช่าซื้อ อสังหาริมทรัพย์,8/273  ซอยช่างอากาศอุทิศ 10 แยก 1-2,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,10210
"1,085",0105561186280,บจ.ธนพร 227 จำกัด,30/10/2561," 1,000,000 ",70209,ประกอบกิจการรับเป็นที่ปรึกษา,4/85  ซอยแจ้งวัฒนะ 14 ถนนแจ้งวัฒนะ,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,086",0105561186701,บจ.ธาราทิพย์ คอนสตรัคชั่น แอนด์ ดีไซน์ จำกัด,30/10/2561," 1,000,000 ",47524,ประกอบกิจการจำหน่ายอุปกรณ์ก่อสร้าง,301/154  ซอยประชาชื่น 12 แยก 1-2-15,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,087",0105561186808,บจ.อมรรัตนโกสินทร์ จำกัด,30/10/2561," 1,000,000 ",49209,การขนส่งผู้โดยสารด้วยรถโดยสารประจำทาง,96/25  ถนนวิภาวดีรังสิต,แขวงตลาดบางเขน,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,088",0105561186972,บจ.สตรอง แอนด์ เฮลตี้ พลัส 88 จำกัด,31/10/2561," 1,000,000 ",46319,จำหน่ายผลิตภัณฑ์ประเภท อาหารเสริม และเครื่องสำอาง,201/165  ซอยวิภาวดีรังสิต 64 (มหานคร),แขวงตลาดบางเขน,เขตหลักสี่,กรุงเทพมหานคร,10210
"1,089",0103561014223,หจ.อินฟินิต 8 ดีไซน์,3/10/2561," 1,000,000 ",43301,การติดตั้งส่วนประกอบอาคารและการตกแต่งภายใน,7/54  ซอยจตุโชติ 10 (ม.ริมอินทรา) ถนนสุขาภิบาล 5,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,090",0103561014711,หจ.มธุษา 5514,12/10/2561," 1,000,000 ",47723,ประกอบกิจการจำหน่ายสบู่และเครื่องสำอางทุกชนิด,55/14  ถนนสุขาภิบาล 5,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,091",0103561015009,หจ.ทริปลิงค์ พีซี (ไทยแลนด์),19/10/2561," 1,000,000 ",79120,ประกอบกิจการนำเที่ยว รวมทั้งธุรกิจที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,31/103  ถนนสายไหม,แขวงสายไหม,เขตสายไหม,กรุงเทพมหานคร,10220
"1,092",0103561015025,หจ.เจพี พลัส บิซิเนส,19/10/2561," 1,000,000 ",45302,ประกอบกิจการจำหน่ายเครื่องมือ อะไหล่รถยนต์ ติดตั้ง ซ่อมแซมฯ,70/198  ซอยรามอินทรา 65 แยก 2-4,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,093",0103561015076,หจ.เอส ดีไซน์ 28,22/10/2561," 1,000,000 ",47411,ประกอบกิจการจำหน่าย เครื่องใช้สำนักงาน คอมพิวเตอร์,1/25  หมู่บ้าน ศุภาลัยออคิดปาร์ค วัชรพล ซอยสุขาภิบาล 5 ซอย 67,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,094",0105561169059,บจ.พรฐาบุญ คลีนนิ่ง จำกัด,1/10/2561," 1,000,000 ",81210,ประกอบกิจการรับจ้างทำความสะอาดอาคารบ้านเรือน,4/397  ซอยเพิ่มสิน 20 แยก 18,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,095",0105561169296,บจ.พี่น้องเทพร่วมค้า จำกัด,1/10/2561," 1,000,000 ",46594,การขายส่งเครื่องจักรอุปกรณ์และเฟอร์นิเจอร์ชนิดใช้ในสำนักงาน,100/105  ถนนสุขาภิบาล5,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,096",0105561169555,บจ.ยูจีน่า จำกัด,1/10/2561," 1,000,000 ",47723,ประกอบกิจการจำหน่ายเครื่องสำอาง,222/34  ซอยร่วมมิตรพัฒนาแยก 5,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,097",0105561169563,บจ.วิสดอมฮิลล์ จำกัด,1/10/2561," 1,000,000 ",68102,ประกอบกิจการค้าอสังหาริมทรัพย์,14/23  ซอยสุขาภิบาล 5 ซอย 57,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,098",0105561170103,บจ.แอคคิวเมน โอเปอร์เรชั่นส์ (ประเทศไทย) จำกัด,2/10/2561," 1,000,000 ",71101,กิจกรรมงานสถาปัตยกรรมและวิศวกรรมและการให้คำปรึกษาทางด้านเทคนิคที่เกี่ยวข้อง,125/43  ซอยสายไหม 15/1,แขวงสายไหม,เขตสายไหม,กรุงเทพมหานคร,10220
"1,099",0105561170171,บจ.วี เมอริท จำกัด,2/10/2561," 1,000,000 ",79909,ประกอบกิจการจำหน่ายตั๋วเครื่องบิน,9/180  หมู่บ้าน แสงธรรม ซอย5 ซอยสุขาภิบาล 5 ซอย 57,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,100",0105561170421,บจ.อินทิเกรท ฟู้ด จำกัด,2/10/2561," 1,000,000 ",47219,ประกอบกิจการจำหน่ายอาหาร เครื่องดื่ม อุปโภคบริโภคทุกชนิด ทั้งในและต่างประเทศ,2  ซอยลาดปลาเค้า 89 ถนนลาดปลาเค้า,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
"1,101",0105561170596,บจ.ศิวัจน์ แลนด์ จำกัด,3/10/2561," 1,000,000 ",68102,ประกอบกิจการซื้อ ขาย อสังหาริมทรัพย์,65/47  ซอยรามอินทรา 14 ถนนรามอินทรา,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,102",0105561170685,บจ.ยนต์สุข จำกัด,3/10/2561," 1,000,000 ",45201,การบำรุงรักษาและการซ่อมระบบเครื่องยนต์และชิ้นส่วนยานยนต์,19/3  หมู่บ้าน แกรนด์โฮม ซอยพหลโยธิน 48 แยก 13 ถนนพหลโยธิน,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
"1,103",0105561171088,บจ.ทูบี ครีเอเตอร์ จำกัด,3/10/2561," 1,000,000 ",73101,ให้บริการด้านการโฆษณาอย่างเต็มรูปแบบ,24/82  ซอยพหลโยธิน 56,แขวงสายไหม,เขตสายไหม,กรุงเทพมหานคร,10220
"1,104",0105561171266,บจ.พี.เอส.เอ็น.ซัคเซซ จำกัด,3/10/2561," 1,000,000 ",64991,ประกอบกิจการรับซื้อ หรือรับโอนสิทธิเรียกร้องหนี้,153  ซอยรามอินทรา 34,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,105",0105561172131,บจ.บ้านนา 24 จำกัด,4/10/2561," 1,000,000 ",46599,นำเข้าส่งออกเครื่องเชื่อมเหล็ก สแตนเลส เครื่องตัดเหล็ก,38/357 หมู่ 2 ถนนสุขาภิบาล 5 ,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,106",0105561172319,บจ.ธัญญ์นภัส จำกัด,5/10/2561," 1,000,000 ",43120,รับจ้างขนดิน และวัสดุก่อสร้าง รวมทั้งสินค้าทุกชนิด,100/235  ถนนสุขาภิบาล 5,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,107",0105561172343,บจ.เจอาร์ การ์เม้นท์ อินดัสทรี่ จำกัด,5/10/2561," 1,000,000 ",14120,ประกอบกิจการให้บริการตัดเย็บเสื้อผ้า,1/22  ซอยคู้บอน 27 แยก 30,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,108",0105561172467,บจ.นธแอนด์นัธ โปรดั๊กชั่น จำกัด,5/10/2561," 1,000,000 ",59121,รับจ้างถ่ายทำบันทึกเสียง ตัดต่อวิดีโอ,309  ซอยรามอินทรา 65 ถนนรามอินทรา,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,109",0105561172688,บจ.ทเวนตี้ซิกซ์ โอโฟร์ จำกัด,5/10/2561," 1,000,000 ",47711,ประกอบกิจการ ขายเสื้อผ้า สำเร็จรูป,39/54  ซอยลาดปลาเค้า 60,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
"1,110",0105561172831,บจ.โฮมคาเมร่า แอนด์ ไอที จำกัด,5/10/2561," 1,000,000 ",47420,ประกอบกิจการกล้องถ่ายรูปอุปกรณ์อิเลคทรอนิคส์และอุปกรณ์ทุกชนิด,77/92  ถนนจตุโชติ,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,111",0105561172947,บจ.บิสิเนส แอดดิกส์ จำกัด,5/10/2561," 1,000,000 ",63112,ประกอบกิจการบริการจดทะเบียนโดเมนเนม,101/24  ซอยสุขาภิบาล 5 ซอย 5,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,112",0105561172980,บจ.อินเทลลิเจนท์ เน็ตเวิร์ค โซลูชั่น จำกัด,5/10/2561," 1,000,000 ",47411,ประกอบกิจการจำหน่ายคอมพิวเตอร์ อุปกณ์ฮาร์ดแวร์,89/70  ซอยพหลโยธิน 52 แยก 27 (หมู่บ้านทิมเรืองเวช),แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,113",0105561172998,บจ.คลิก คอมมานด์ จำกัด,5/10/2561," 1,000,000 ",62012,ประกอบกิจการรับจ้างเขียนโครงการ ค้นคว้า วางระบบพัฒนาโปรแกรมซอฟแวร์ รวมถึงการจัดอบรม สัมมนา,19/8  ถนนเพิ่มสิน,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,114",0105561173218,บจ.ธาราชาวเลซีฟู้ด จำกัด,5/10/2561," 1,000,000 ",56101,ประกอบกิจการอาหารและเครื่องดื่ม,795  ถนนรามอินทรา,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,115",0105561173455,บจ.ฟิล์มไลท์ แอนด์ เอ็น.วาย. จำกัด,8/10/2561," 1,000,000 ",59111,ประกอบกิจการให้บริการรับผลิตภาพยนต์และวีดีทัศน์,288/227  ถนนสุขาภิบาล 5,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,116",0105561173650,บจ.พีทีเจ 168 จำกัด,8/10/2561," 1,000,000 ",45302,ประกอบกิจการซื้อขาย กาวประเก็น อุปกรณ์และอะไหล่ที่เกี่ยวข้องกับรถยนต์ รถโดยสาร รถบรรทุก,16  ซอยรามอินทรา 34 แยก 9,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,10220
"1,117",0105561173749,บจ.เน็กซ์ คอนซัลติ้ง จำกัด,8/10/2561," 1,000,000 ",70209,บริการให้คำปรึกษาทางด้าน ระบบบริหาร และระบบบริหารการเงิน,9/160-161  ซอยลาดปลาเค้า 78,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,10220
"1,118",0105561174028,บจ.เอ คอส แลบอราทอรี่ (ประเทศไทย) จำกัด,8/10/2561," 1,000,000 ",20232,ประกอบกิจการผลิตและจำหน่ายเครื่องสำอางค์อาหารเสริมทุกชนิด,555/59  ถนนสุขาภิบาล 5,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
"1,119",0105561174150,บจ.สทราทิจิคแมเนจเมนท์โซลูชั่นส์ จำกัด,8/10/2561," 1,000,000 ",62022,กิจกรรมการให้คำปรึกษาให้คำแนะนำ ดำเนินการพัฒนา โปรแกรมคอมพิวเตอร์,1/24  ถนนสุขาภิบาล 5 ซอย 70,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,10220
